dt_partida_real,flights,paid_passengers
2008-01-01,221,23189
2008-01-02,252,30461
2008-01-03,264,32125
2008-01-04,254,29988
2008-01-05,282,37231
2008-01-06,278,35594
2008-01-07,239,31766
2008-01-08,248,30528
2008-01-09,246,29209
2008-01-10,254,29211
2008-01-11,253,31160
2008-01-12,278,35639
2008-01-13,268,34069
2008-01-14,233,30282
2008-01-15,245,29293
2008-01-16,251,30224
2008-01-17,238,28931
2008-01-18,261,31414
2008-01-19,280,35736
2008-01-20,268,32789
2008-01-21,236,29172
2008-01-22,238,26925
2008-01-23,243,28671
2008-01-24,245,30500
2008-01-25,241,29896
2008-01-26,273,31960
2008-01-27,271,30432
2008-01-28,228,27398
2008-01-29,245,28141
2008-01-30,236,29545
2008-01-31,242,32448
2008-02-01,246,33665
2008-02-02,278,38043
2008-02-03,249,32166
2008-02-04,225,24123
2008-02-05,229,22485
2008-02-06,247,24264
2008-02-07,243,24049
2008-02-08,243,25802
2008-02-09,261,31243
2008-02-10,260,32274
2008-02-11,235,27929
2008-02-12,237,25165
2008-02-13,247,25497
2008-02-14,236,25703
2008-02-15,239,28259
2008-02-16,257,31174
2008-02-17,253,31102
2008-02-18,255,27886
2008-02-19,231,23914
2008-02-20,238,25626
2008-02-21,243,25494
2008-02-22,244,28584
2008-02-23,247,29931
2008-02-24,239,29658
2008-02-25,233,26336
2008-02-26,232,23524
2008-02-27,238,24341
2008-02-28,240,31688
2008-02-29,193,20519
2008-03-01,241,29793
2008-03-02,242,30788
2008-03-03,234,28357
2008-03-04,231,25049
2008-03-05,239,25932
2008-03-06,240,27334
2008-03-07,235,28858
2008-03-08,247,31055
2008-03-09,242,31270
2008-03-10,231,27782
2008-03-11,236,24872
2008-03-12,234,25153
2008-03-13,237,27575
2008-03-14,238,30479
2008-03-15,257,34000
2008-03-16,242,31649
2008-03-17,242,26667
2008-03-18,232,24897
2008-03-19,239,28007
2008-03-20,246,30027
2008-03-21,228,22486
2008-03-22,218,22460
2008-03-23,237,29016
2008-03-24,239,29628
2008-03-25,236,27605
2008-03-26,229,25157
2008-03-27,240,26973
2008-03-28,236,27476
2008-03-29,227,26841
2008-03-30,233,29459
2008-03-31,226,26539
2008-04-01,223,24117
2008-04-02,229,25037
2008-04-03,239,26073
2008-04-04,239,28169
2008-04-05,238,27326
2008-04-06,228,28871
2008-04-07,231,27099
2008-04-08,234,23985
2008-04-09,230,24526
2008-04-10,242,27019
2008-04-11,241,29704
2008-04-12,232,28636
2008-04-13,241,29878
2008-04-14,228,26553
2008-04-15,238,24449
2008-04-16,233,25815
2008-04-17,234,29629
2008-04-18,242,34998
2008-04-19,225,31342
2008-04-20,227,27668
2008-04-21,233,28202
2008-04-22,223,26161
2008-04-23,234,24221
2008-04-24,239,26611
2008-04-25,230,28898
2008-04-26,236,29319
2008-04-27,239,30068
2008-04-28,230,26382
2008-04-29,238,27478
2008-04-30,241,32603
2008-05-01,15,1907
2008-05-01,233,30016
2008-05-02,209,23890
2008-05-03,226,27032
2008-05-04,243,30744
2008-05-05,237,28752
2008-05-06,246,25750
2008-05-07,229,23567
2008-05-08,235,26248
2008-05-09,238,29871
2008-05-10,232,27953
2008-05-11,236,29433
2008-05-12,226,27436
2008-05-13,227,22976
2008-05-14,226,24470
2008-05-15,238,28169
2008-05-16,219,30268
2008-05-17,237,32534
2008-05-18,227,32018
2008-05-19,218,26737
2008-05-20,233,27243
2008-05-21,243,33529
2008-05-22,249,32938
2008-05-23,211,28271
2008-05-24,228,28427
2008-05-25,239,30049
2008-05-26,231,27154
2008-05-27,213,25921
2008-05-28,216,24740
2008-05-29,231,27868
2008-05-30,225,28642
2008-05-31,243,28610
2008-06-01,219,28520
2008-06-02,214,25678
2008-06-03,226,22398
2008-06-04,217,22627
2008-06-05,216,25807
2008-06-06,218,26542
2008-06-07,227,26894
2008-06-08,223,27587
2008-06-09,213,25502
2008-06-10,227,23821
2008-06-11,225,24750
2008-06-12,222,27522
2008-06-13,224,29401
2008-06-14,219,28756
2008-06-15,227,31265
2008-06-16,212,28277
2008-06-17,221,23945
2008-06-18,222,24864
2008-06-19,228,27743
2008-06-20,219,29884
2008-06-21,237,31019
2008-06-22,231,30745
2008-06-23,212,25815
2008-06-24,223,25865
2008-06-25,222,28348
2008-06-26,232,31119
2008-06-27,220,30016
2008-06-28,258,33055
2008-06-29,245,33081
2008-06-30,215,26931
2008-07-01,214,24783
2008-07-02,224,26406
2008-07-03,232,28708
2008-07-04,228,31131
2008-07-05,272,37399
2008-07-06,252,35498
2008-07-07,209,28229
2008-07-08,229,29164
2008-07-09,235,29553
2008-07-10,239,29205
2008-07-11,242,32275
2008-07-12,273,36180
2008-07-13,263,37675
2008-07-14,218,29301
2008-07-15,233,27984
2008-07-16,210,27352
2008-07-17,241,30201
2008-07-18,237,33124
2008-07-19,262,35041
2008-07-20,258,37055
2008-07-21,222,29284
2008-07-22,233,27058
2008-07-23,227,26699
2008-07-24,236,28641
2008-07-25,238,30475
2008-07-26,270,33948
2008-07-27,253,33360
2008-07-28,224,26370
2008-07-29,229,23390
2008-07-30,227,23943
2008-07-31,234,26358
2008-08-01,226,28149
2008-08-02,257,30820
2008-08-03,250,31746
2008-08-04,214,26285
2008-08-05,228,24764
2008-08-06,220,24965
2008-08-07,225,25963
2008-08-08,239,28231
2008-08-09,239,28839
2008-08-10,237,29790
2008-08-11,207,26346
2008-08-12,218,24067
2008-08-13,224,24500
2008-08-14,226,27044
2008-08-15,226,28562
2008-08-16,229,27966
2008-08-17,229,30830
2008-08-18,212,26603
2008-08-19,222,24347
2008-08-20,227,25763
2008-08-21,232,27537
2008-08-22,229,27741
2008-08-23,234,26170
2008-08-24,230,29764
2008-08-25,213,25148
2008-08-26,226,23528
2008-08-27,229,23996
2008-08-28,227,26582
2008-08-29,228,28656
2008-08-30,228,27150
2008-08-31,234,30855
2008-09-01,206,25820
2008-09-02,227,24796
2008-09-03,235,25765
2008-09-04,235,29260
2008-09-05,227,30192
2008-09-06,226,28751
2008-09-07,226,31311
2008-09-08,213,27390
2008-09-09,227,24659
2008-09-10,225,25864
2008-09-11,228,27651
2008-09-12,227,29599
2008-09-13,227,28161
2008-09-14,227,31218
2008-09-15,214,27278
2008-09-16,227,24771
2008-09-17,226,26753
2008-09-18,234,28799
2008-09-19,227,30543
2008-09-20,233,29067
2008-09-21,234,32412
2008-09-22,214,26661
2008-09-23,225,25533
2008-09-24,227,25217
2008-09-25,231,27270
2008-09-26,227,28492
2008-09-27,231,27773
2008-09-28,231,30124
2008-09-29,213,25563
2008-09-30,224,23233
2008-10-01,221,20387
2008-10-02,234,25410
2008-10-03,232,26885
2008-10-04,232,26921
2008-10-05,232,28809
2008-10-06,214,24961
2008-10-07,228,23531
2008-10-08,227,24794
2008-10-09,234,28423
2008-10-10,225,30665
2008-10-11,240,32200
2008-10-12,241,32378
2008-10-13,212,27712
2008-10-14,227,24448
2008-10-15,224,25530
2008-10-16,229,26018
2008-10-17,228,28990
2008-10-18,238,24980
2008-10-19,242,30623
2008-10-20,212,25438
